Class:>50K,Sex=Male,Age<25,Age=25-60,Age>=60,Workclass:Private,Education Num<10,Marital Status=Married,Relationship=Married,Occupation=office,Occupation=heavy-work,Occupation=other,Race:White,Capital Gain<5000,Capital Loss<40,Hours per Week<40,Hours per Week=40-60,Hours per Week>=60,Native Country:United-States
0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1
0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0
0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1
1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1
1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1
0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1
0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1
1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1
1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0
0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0
0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1
0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0
0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1
0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1
1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0
0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1
0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1
0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0
0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1
