ERE:<=660,ERE:661-720,ERE:>720,MOTO:NoTrades,MOTO:<36m,MOTO:>=36m,NumSatTrades:<10,NumSatTrades:>=10,NumTrades90Derog:0,NumTrades90Derog:>0,MSRD:NoDerogHist,MSRD:RecentDelq(<12m),MSRD:OlderDelq(>=12m),MaxDelqEver:NoDelqOrRec,MaxDelqEver:Minor,MaxDelqEver:MajorOrDerog,NumTotalTrades:<15,NumTotalTrades:>=15,NumOpen12M:0,NumOpen12M:1-2,NumOpen12M:>2,NumInq6M:0,NumInq6M:1-2,NumInq6M:>2,NFRB:<0.3_or_None,NFRB:>=0.3_and_Exists,NRTWB:<1,NRTWB:1-2,NRTWB:>2,RiskPerformance:Bad
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1
1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
