Creditability,Gender=Male,Account Balance=1,Account Balance=2,Account Balance=4,Account Balance=3,Duration of Credit (month)<7,Duration of Credit (month)=7-13,Duration of Credit (month)>=13,Payment Status of Previous Credit=4,Payment Status of Previous Credit=2,Payment Status of Previous Credit=3,Payment Status of Previous Credit=0,Payment Status of Previous Credit=1,Purpose=2,Purpose=0,Purpose=9,Purpose=3,Purpose=1,Purpose=10,Purpose=5,Purpose=4,Purpose=6,Purpose=8,Credit Amount<2000,Credit Amount=2000-5000,Credit Amount>=5000,Value Savings/Stocks=1,Value Savings/Stocks=2,Value Savings/Stocks=3,Value Savings/Stocks=5,Value Savings/Stocks=4,Length of current employment=2,Length of current employment=3,Length of current employment=4,Length of current employment=1,Length of current employment=5,Instalment per cent=4,Instalment per cent=2,Instalment per cent=3,Instalment per cent=1,Married,Guarantors=1,Guarantors=3,Guarantors=2,Duration in Current address=4,Duration in Current address=2,Duration in Current address=3,Duration in Current address=1,Most valuable available asset=2,Most valuable available asset=1,Most valuable available asset=3,Most valuable available asset=4,Age (years)<26,Concurrent Credits=3,Concurrent Credits=1,Concurrent Credits=2,Type of apartment=1,Type of apartment=2,Type of apartment=3,No of Credits at this Bank=1,No of Credits at this Bank=2,No of Credits at this Bank=3,No of Credits at this Bank=4,Occupation=3,Occupation=2,Occupation=1,Occupation=4,No of dependents=1,Telephone=1,Foreign Worker=1
1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1
